Date,Net CRU at start of day, Net CRU at end of day, Total add,New user adds, Returning user adds, Total delete, Net change
2016-10-26,1401278,1403260,3869,3169,700,1887,1982
2016-10-27,1403260,1403382,3619,2927,692,3497,122
2016-10-28,1403382,1404934,3669,2871,798,2117,1552
2016-10-29,1404934,1406772,3606,2935,671,1768,1838
2016-10-30,1406772,1408591,3601,2925,676,1782,1819
2016-10-31,1408591,1409483,3019,2452,567,2127,892
2016-11-01,1409483,1410863,3429,2737,692,2049,1380
2016-11-02,1410863,1412242,3423,2784,639,2044,1379
2016-11-03,1412242,1413869,3540,2848,692,1913,1627
2016-11-04,1413869,1416551,5211,4122,1089,2529,2682
2016-11-05,1416551,1421656,7423,5749,1674,2318,5105
2016-11-06,1421656,1426378,6609,5463,1146,1887,4722
2016-11-07,1426378,1428975,4683,3829,854,2086,2597
2016-11-08,1428975,1430676,3729,3014,715,2028,1701
2016-11-09,1430676,1433115,4533,3769,764,2094,2439
2016-11-10,1433115,1436019,4879,4069,810,1975,2904
2016-11-11,1436019,1439138,4969,4143,826,1850,3119
2016-11-12,1439138,1443778,6228,4837,1391,1588,4640
2016-11-13,1443778,1448025,5862,5062,800,1615,4247
2016-11-14,1448025,1449132,4134,3462,672,3027,1107
2016-11-15,1449132,1449459,4238,3536,702,3911,327
2016-11-16,1449459,1449397,3750,3086,664,3812,-62
2016-11-17,1449397,1450586,3509,2898,611,2320,1189
2016-11-18,1450586,1453476,5101,4030,1071,2211,2890
2016-11-19,1453476,1457970,6776,5422,1354,2282,4494
2016-11-20,1457970,1462668,6748,5445,1303,2050,4698
2016-11-21,1462668,1465968,5369,4401,968,2069,3300
2016-11-22,1465968,1469508,5813,4296,1517,2273,3540
2016-11-23,1469509,1473602,6170,4989,1181,2077,4093
2016-11-24,1473602,1478738,6870,5792,1078,1734,5136
2016-11-25,1478738,1483430,6772,5750,1022,2080,4692
2016-11-26,1483430,1487817,6422,5531,891,2035,4387
2016-11-27,1487817,1492000,5940,5126,814,1757,4183
2016-11-28,1492002,1495305,5346,4439,907,2043,3303
2016-11-29,1495305,1498580,5333,4501,832,2058,3275
2016-11-30,1498580,1501713,5267,4435,832,2134,3133
2016-12-01,1501717,1503974,5196,4377,819,2939,2257
2016-12-02,1503974,1505572,5437,4304,1133,3839,1598
2016-12-03,1505572,1510724,7079,5851,1228,1927,5152
2016-12-04,1510724,1511155,5400,4592,808,4969,431
2016-12-05,1511155,1510243,4467,3718,749,5379,-912
2016-12-06,1510243,1513906,5964,4844,1120,2301,3663
2016-12-07,1513906,1517348,5769,4814,955,2327,3442
2016-12-08,1517348,1520383,4952,4103,849,1917,3035
2016-12-09,1520383,1524430,6025,5078,947,1978,4047
2016-12-10,1524430,1530190,8229,6423,1806,2469,5760
2016-12-11,1530190,1535173,7061,5851,1210,2078,4983
2016-12-12,1535171,1537883,5310,4356,954,2598,2712
2016-12-13,1537883,1541623,5854,4969,885,2114,3740
2016-12-22,1568410,1570832,4496,3648,848,2074,2422
2016-12-23,1570832,1573750,5213,4218,995,2295,2918
2016-12-24,1573750,1575818,4028,3358,670,1960,2068
2016-12-25,1575818,1578553,4536,3968,568,1801,2735
2016-12-26,1578553,1580961,4375,3669,706,1967,2408
2016-12-27,1580961,1583118,4092,3419,673,1935,2157
2016-12-28,1583118,1586093,5601,4478,1123,2626,2975
2016-12-29,1586093,1588564,4686,3794,892,2215,2471
2016-12-30,1588564,1590690,4354,3585,769,2228,2126
2016-12-31,1590690,1592575,3712,3044,668,1827,1885
2017-01-01,1592575,1594201,3109,2549,560,1483,1626
2017-01-02,1594201,1595786,3428,2835,593,1843,1585
2017-01-03,1595785,1597094,3209,2606,603,1900,1309
2017-01-04,1597094,1594941,3203,2599,604,5356,-2153
2017-01-05,1594941,1593276,3097,2487,610,4762,-1665
2017-01-06,1593277,1593938,3258,2619,639,2597,661
2017-01-07,1593938,1595456,3382,2778,604,1864,1518
2017-01-08,1595456,1596889,3102,2572,530,1669,1433
2017-01-09,1596889,1597272,2901,2272,629,2518,383
2017-01-10,1597272,1598193,2954,2351,603,2033,921
2017-01-11,1598193,1599009,2950,2338,612,2134,816
2017-01-11,1598193,1599009,2950,2338,612,2134,816
2017-01-12,1599009,1600250,3134,2476,658,1893,1241
2017-01-13,1600250,1601877,3488,2672,816,1861,1627
2017-01-14,1601877,1603431,3462,2783,679,1908,1554
2017-01-15,1603431,1605174,3263,2671,592,1520,1743
2017-01-16,1605174,1606413,3032,2397,635,1793,1239
2017-01-17,1606413,1605914,2755,2186,569,3254,-499
2017-01-18,1605914,1606866,2885,2244,641,1933,952
2017-01-19,1606866,1606498,2877,2275,602,3245,-368
2017-01-20,1606498,1607519,2925,2310,615,1904,1021
2017-01-21,1607519,1609554,4061,3139,922,2026,2035
2017-01-22,1609554,1610910,2953,2371,582,1597,1356
2017-01-23,1610910,1611380,2866,2259,607,2396,470
2017-01-24,1611380,1612274,2444,1909,535,1550,894
2017-01-25,1612274,1612708,2021,1591,430,1587,434
2017-01-26,1612708,1613241,2105,1685,420,1572,533
2017-01-27,1613248,1615221,4056,3271,785,2083,1973
2017-01-28,1615221,1617007,3936,3194,742,2150,1786
2017-01-29,1617007,1619163,3856,3065,791,1700,2156
2017-01-30,1619165,1620518,3299,2552,747,1946,1353
2017-01-31,1620518,1620814,2875,2279,596,2579,296
2017-02-01,1619111,1619941,3561,2799,762,2731,830
2017-02-02,1619942,1621298,3592,2800,792,2236,1356
2017-02-03,1621298,1622556,3379,2522,857,2121,1258
2017-02-04,1622556,1623992,3321,2623,698,1885,1436
2017-02-05,1623992,1625767,3265,2547,718,1490,1775
2017-02-06,1625768,1626367,3115,2387,728,2516,599
2017-02-07,1626367,1627097,2811,2175,636,2081,730
2017-02-08,1627097,1627768,2700,2115,585,2029,671
2017-02-09,1627768,1628632,2775,2163,612,1911,864
2017-02-10,1628632,1630206,3753,2843,910,2179,1574
2017-02-11,1630206,1631256,3005,2382,623,1955,1050
2017-02-12,1631256,1632350,2687,2125,562,1593,1094
2017-02-13,1632350,1633116,2579,1980,599,1813,766
2017-02-14,1633193,1633800,2307,1759,548,1700,607
2017-02-15,1633840,1634085,1674,1296,378,1429,245
2017-02-16,1634083,1633945,2722,2148,574,2860,-138
2017-02-17,1633945,1634799,2854,2190,664,2000,854
2017-02-18,1634799,1636270,3600,2837,763,2129,1471
2017-02-19,1636270,1637501,3124,2446,678,1893,1231
2017-02-20,1637501,1638003,2804,2165,639,2302,502
2017-02-21,1638003,1638535,3108,2447,661,2576,532
2017-02-22,1638426,1638560,3214,2466,748,3080,134
2017-02-23,1638552,1639581,4463,3507,956,3434,1029
2017-02-24,1639582,1639877,4868,3875,993,4573,295
2017-02-25,1639877,1642092,5532,4410,1122,3317,2215
2017-02-26,1642092,1643807,4636,3786,850,2921,1715
2017-02-27,1643601,1644718,4492,3499,993,3375,1117
2017-02-28,1644718,1645507,4170,3340,830,3381,789
2017-03-01,1645492,1645375,4403,3450,953,4520,-117
2017-03-02,1645376,1645900,3208,2557,651,2684,524
2017-03-03,1645900,1646896,4044,3168,876,3048,996
2017-03-04,1646896,1648458,4184,3351,833,2622,1562
2017-03-05,1648458,1649843,3709,2995,714,2324,1385
2017-03-06,1649841,1650675,3452,2717,735,2618,834
2017-03-07,1650023,1650753,3403,2660,743,2673,730
2017-03-08,1650753,1651772,3555,2836,719,2536,1019
2017-03-09,1651772,1652602,3261,2571,690,2431,830
2017-03-10,1652602,1653686,3090,2387,703,2006,1084
2017-03-11,1653686,1655337,3662,2847,815,2011,1651
2017-03-12,1655337,1656568,3216,2591,625,1985,1231
2017-03-13,1656568,1657356,2839,2198,641,2051,788
2017-03-14,1657356,1658116,2908,2278,630,2148,760
2017-03-15,1658116,1658854,2826,2170,656,2088,738
2017-03-16,1658854,1659633,2865,2205,660,2086,779
2017-03-17,1659633,1660314,2972,2247,725,2291,681
2017-03-18,1660314,1661442,3321,2569,752,2193,1128
2017-03-19,1661442,1662414,3015,2351,664,2043,972
2017-03-20,1662414,1662936,2706,2086,620,2184,522
2017-03-21,1662936,1663403,2641,2051,590,2174,467
2017-03-22,1663403,1664266,3212,2429,783,2349,863
2017-03-23,1664266,1664889,2881,2241,640,2258,623
2017-03-24,1664889,1666396,3729,2853,876,2222,1507
2017-03-25,1666396,1667638,3308,2541,767,2066,1242
2017-03-26,1667638,1668683,2973,2269,704,1928,1045
2017-03-27,1668683,1669351,2917,2143,774,2249,668
2017-03-28,1669351,1670276,3292,2432,860,2367,925
2017-03-29,1670276,1671127,3009,2269,740,2158,851
2017-03-30,1671127,1672350,3563,2730,833,2340,1223
2017-03-31,1672350,1673488,3384,2586,798,2246,1138
2017-04-01,1673488,1676093,4883,3707,1176,2278,2605
2017-04-02,1676093,1677555,3399,2614,785,1937,1462
2017-04-03,1677555,1678266,2863,2113,750,2152,711
2017-04-04,1678266,1678622,2961,2212,749,2605,356
2017-04-05,1678622,1679612,3290,2484,806,2300,990
2017-04-06,1679612,1680709,2944,2175,769,1847,1097
2017-04-07,1680709,1681736,3379,2523,856,2352,1027
2017-04-08,1681736,1682993,3458,2559,899,2201,1257
2017-04-09,1682993,1684001,3041,2294,747,2033,1008
2017-04-10,1684000,1684666,2859,2104,755,2193,666
2017-04-11,1684666,1685025,2972,2189,783,2613,359
2017-04-12,1685025,1685892,2929,2118,811,2062,867
2017-04-13,1685892,1686542,3511,2428,1083,2861,650
2017-04-14,1686542,1688386,5147,3623,1524,3303,1844
2017-04-15,1688386,1689870,4289,3165,1124,2805,1484
2017-04-16,1689870,1690563,3187,2336,851,2494,693
2017-04-17,1690563,1691234,3471,2478,993,2800,671
2017-04-18,1691234,1691395,4152,3116,1036,3991,161
2017-04-19,1691395,1695117,11080,8805,2275,7358,3722
2017-04-20,1695117,1703216,12914,10340,2574,4815,8099
2017-04-21,1703167,1713664,14798,11992,2806,4301,10497
2017-04-22,1713664,1723285,13072,10734,2338,3451,9621
2017-04-23,1723285,1729756,9356,7676,1680,2885,6471
2017-04-24,1729756,1735424,8747,7084,1663,3079,5668
2017-04-25,1735424,1740275,7840,6179,1661,2989,4851
2017-04-26,1740275,1744971,7853,6371,1482,3157,4696
2017-04-27,1744971,1749546,7376,5891,1485,2801,4575
2017-04-28,1749546,1754828,8009,6396,1613,2727,5282
2017-04-29,1754828,1759942,7890,6450,1440,2776,5114
2017-04-30,1759942,1764363,6938,5635,1303,2517,4421
2017-05-01,1764363,1766738,5040,3848,1192,2665,2375
2017-05-02,1767932,1771578,6306,5067,1239,2660,3646
2017-05-03,1771578,1775140,6291,5038,1253,2729,3562
2017-05-04,1775140,1779318,6681,5378,1303,2503,4178
2017-05-05,1779318,1784778,8018,6455,1563,2558,5460
2017-05-06,1784778,1789409,7049,5591,1458,2418,4631
2017-05-07,1789409,1793068,5983,4818,1165,2324,3659
2017-05-08,1793068,1796396,5799,4632,1167,2471,3328
